b010 WMI_ROAM_BTM_CONFIG_CMDID
d007 WMI_P2P_DISC_OFFLOAD_APPIE_CMDID
501a WMI_VDEV_ENCRYPT_DECRYPT_DATA_REQ_CMDID
d008 WMI_P2P_DISC_OFFLOAD_PATTERN_CMDID
501b WMI_VDEV_ADD_MAC_ADDR_TO_RX_FILTER_CMDID
d009 WMI_P2P_SET_OPPPS_PARAM_CMDID
501c WMI_VDEV_SET_ARP_STAT_CMDID
501d WMI_VDEV_GET_ARP_STAT_CMDID
501e WMI_VDEV_GET_TX_POWER_CMDID
501f WMI_VDEV_LIMIT_OFFCHAN_CMDID
44001 WMI_CFR_CAPTURE_FILTER_CMDID
40001 WMI_PDEV_OBSS_PD_SPATIAL_REUSE_CMDID
40002 WMI_PDEV_OBSS_PD_SPATIAL_REUSE_SET_DEF_OBSS_THRESH_CMDID
e001 WMI_AP_PS_PEER_PARAM_CMDID
a001 WMI_PDEV_DFS_ENABLE_CMDID
e002 WMI_AP_PS_PEER_UAPSD_COEX_CMDID
a002 WMI_VDEV_DFS_CAC_COMPLETE_EVENTID
e003 WMI_AP_PS_EGAP_PARAM_CMDID
a003 WMI_VDEV_ADFS_OCAC_COMPLETE_EVENTID
a004 WMI_DFS_PHYERR_FILTER_DIS_CMDID
a005 WMI_PDEV_DFS_PHYERR_OFFLOAD_ENABLE_CMDID
a006 WMI_PDEV_DFS_PHYERR_OFFLOAD_DISABLE_CMDID
601a WMI_PEER_CFR_CAPTURE_CMDID
a007 WMI_VDEV_ADFS_CH_CFG_CMDID
a008 WMI_VDEV_ADFS_OCAC_ABORT_CMDID
601b WMI_PEER_CHAN_WIDTH_SWITCH_CMDID
601c WMI_PEER_TX_PN_REQUEST_CMDID
601d WMI_PEER_UNMAP_RESPONSE_CMDID
601e WMI_PEER_CONFIG_VLAN_CMDID
45001 WMI_ATF_SSID_GROUPING_REQUEST_CMDID
41001 WMI_ESP_ESTIMATE_EVENTID
45002 WMI_ATF_GROUP_WMM_AC_CONFIG_REQUEST_CMDID
d00a WMI_P2P_LISTEN_OFFLOAD_START_CMDID
d00b WMI_P2P_LISTEN_OFFLOAD_STOP_CMDID
45003 WMI_PEER_ATF_EXT_REQUEST_CMDID
f001 WMI_PEER_RATE_RETRY_SCHED_CMDID
b001 WMI_ROAM_EVENTID
b002 WMI_ROAM_SCAN_RSSI_THRESHOLD
b003 WMI_ROAM_SYNCH_EVENTID
b004 WMI_ROAM_SYNCH_FRAME_EVENTID
b005 WMI_ROAM_AP_PROFILE
b006 WMI_ROAM_CHAN_LIST
b007 WMI_ROAM_PREAUTH_START_EVENTID
b008 WMI_ROAM_PMKID_REQUEST_EVENTID
b009 WMI_ROAM_SET_RIC_REQUEST_CMDID
42001 WMI_HPCS_PULSE_START_CMDID
30 WMI_GRP_SAP_OFL
31 WMI_GRP_OCB
32 WMI_GRP_SOC
33 WMI_GRP_PKT_FILTER
34 WMI_GRP_MAWC
35 WMI_GRP_PMF_OFFLOAD
37 WMI_GRP_NAN_DATA
2b001 WMI_LPI_MGMT_SNOOPING_CONFIG_CMDID
2b002 WMI_LPI_START_SCAN_CMDID
38 WMI_GRP_PROTOTYPE
39 WMI_GRP_MONITOR
2b003 WMI_LPI_HANDOFF_EVENTID
b00a WMI_ROAM_INVOKE_CMDID
b00b WMI_ROAM_FILTER_CMDID
b00c WMI_ROAM_SUBNET_CHANGE_CONFIG_CMDID
b00d WMI_ROAM_CONFIGURE_MAWC_CMDID
b00e WMI_ROAM_SET_MBO_PARAM_CMDID
b00f WMI_ROAM_PER_CONFIG_CMDID
2c001 WMI_EXTSCAN_START_CMDID
2c002 WMI_EXTSCAN_OPERATION_EVENTID
2c003 WMI_EXTSCAN_CONFIGURE_WLAN_CHANGE_MONITOR_CMDID
2c004 WMI_EXTSCAN_CONFIGURE_HOTLIST_MONITOR_CMDID
2c005 WMI_EXTSCAN_GET_CACHED_RESULTS_CMDID
2c006 WMI_EXTSCAN_GET_WLAN_CHANGE_RESULTS_CMDID
12001 WMI_ADD_BCN_FILTER_CMDID
2c007 WMI_EXTSCAN_CAPABILITIES_EVENTID
2c008 WMI_EXTSCAN_HOTLIST_SSID_MATCH_EVENTID
12002 WMI_RMV_BCN_FILTER_CMDID
2c009 WMI_EXTSCAN_CONFIGURE_HOTLIST_SSID_MONITOR_CMDID
3a WMI_GRP_REGULATORY
3b WMI_GRP_HW_DATA_FILTER
3c WMI_GRP_WLM
3d WMI_GRP_11K_OFFLOAD
3e WMI_GRP_TWT
3f WMI_GRP_MOTION_DET
2d001 WMI_SET_DHCP_SERVER_OFFLOAD_CMDID
17001 WMI_SET_ARP_NS_OFFLOAD_CMDID
13001 WMI_WOW_ADD_WAKE_PATTERN_CMDID
17002 WMI_ADD_PROACTIVE_ARP_RSP_PATTERN_CMDID
13002 WMI_WOW_DEL_WAKE_PATTERN_CMDID
17003 WMI_DEL_PROACTIVE_ARP_RSP_PATTERN_CMDID
13003 WMI_WOW_ENABLE_DISABLE_WAKE_EVENT_CMDID
13004 WMI_WOW_ENABLE_CMDID
13005 WMI_WOW_HOSTWAKEUP_FROM_SLEEP_CMDID
13006 WMI_WOW_IOAC_ADD_KEEPALIVE_CMDID
13007 WMI_WOW_IOAC_DEL_KEEPALIVE_CMDID
